nsn,candidate_mpn,manufacturer,digikey_pn,attribute_name,raw_name,raw_value,value_num,value_min,value_max,uom,value_text,parse_status,source
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,features,Features,"Flame Retardant Coating, Moisture Resistant, Safety",,,,,FLAMERETARDANTCOATINGMOISTURERESISTANTSAFETY,text,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,temperature_coefficient,Temperature Coefficient,±50ppm/°C,50.0,,,ppm/degC,±50ppm/°C,number,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,operating_temp_min,Operating Temperature,-55°C ~ 175°C,-55.0,,,degC,-55°C ~ 175°C,number,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,operating_temp_max,Operating Temperature,-55°C ~ 175°C,175.0,,,degC,-55°C ~ 175°C,number,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,package_case,Package / Case,Axial,,,,,AXIAL,text,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,package_case,Supplier Device Package,Axial,,,,,AXIAL,text,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,size_dimension,Size / Dimension,"0.090"" Dia x 0.240"" L (2.29mm x 6.10mm)",,,,,0090DIAX0240L229MMX610MM,text,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,height_seated_max,Height - Seated (Max),-,,,,,,empty,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,CMF5510R000BHEA,Vishay Dale,541-4313-2-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,resistance,Resistance,10 kOhms,10000.0,,,ohm,10 kOhms,number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,features,Features,Current Sense,,,,,CURRENTSENSE,text,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,CRT0603-BY-1002ELF,Bourns Inc.,CRT0603-BY-1002ELFTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
