mpn,manufacturer,lifecycle_status,median_price,stock_qty,lead_time_days,datasheet_url,distributor_count,lifecycle_raw,price_basis_qty,nexar_part_id,matched_mpn,seller_count,authorized_distributor_count,octopart_url,fetched_at
D38999/20GF30HE,Glenair,unknown,1119.67,10.0,35.0,,1.0,,1000.0,157364134,D38999/20GF30HE,2,1,https://octopart.com/part/glenair/D38999%2F20GF30HE,2026-09-05T20:31:02
D38999/20GF30HN,Glenair,unknown,1119.67,5.0,35.0,,1.0,,1000.0,157364140,D38999/20GF30HN,2,1,https://octopart.com/part/glenair/D38999%2F20GF30HN,2026-09-05T20:31:03
D38999/20JC98PN,Amphenol,unknown,78.3751,736.0,112.0,,7.0,,1000.0,947198,D38999/20JC98PN,13,5,https://octopart.com/part/amphenol/D38999%2F20JC98PN,2026-09-05T20:31:05
D38999/20JE26PN,Amphenol Aerospace,unknown,94.2191,614.0,98.0,,8.0,,1000.0,49669464,D38999/20JE26PN,13,6,https://octopart.com/part/amphenol-aerospace/D38999%2F20JE26PN,2026-09-05T20:31:12
D38999/20JE26SN,Amphenol Aerospace,unknown,87.0012,803.0,112.0,,7.0,,1000.0,49669468,D38999/20JE26SN,12,5,https://octopart.com/part/amphenol-aerospace/D38999%2F20JE26SN,2026-09-05T20:31:13
D38999/20MC98PN,Amphenol,unknown,80.302,2853.0,112.0,,11.0,,1000.0,2465890,D38999/20MC98PN,16,9,https://octopart.com/part/amphenol/D38999%2F20MC98PN,2026-09-05T20:31:05
D38999/20MC98SN,Amphenol,unknown,96.78,944.0,112.0,,8.0,,1000.0,5425184,D38999/20MC98SN,14,6,https://octopart.com/part/amphenol/D38999%2F20MC98SN,2026-09-05T20:31:06
D38999/24GH97JN,Glenair,unknown,958.125,0.0,35.0,,0.0,,1000.0,157368292,D38999/24GH97JN,1,0,https://octopart.com/part/glenair/D38999%2F24GH97JN,2026-09-05T20:30:59
D38999/24GH99JB,Glenair,unknown,945.737,0.0,35.0,,0.0,,1000.0,157368344,D38999/24GH99JB,1,0,https://octopart.com/part/glenair/D38999%2F24GH99JB,2026-09-05T20:30:59
D38999/24GH99JC,Glenair,unknown,945.737,0.0,35.0,,0.0,,1000.0,157368350,D38999/24GH99JC,1,0,https://octopart.com/part/glenair/D38999%2F24GH99JC,2026-09-05T20:31:00
D38999/25YG24XC,TE Connectivity / DEUTSCH,unknown,200.22,0.0,,,0.0,,1000.0,58734954,D38999/25YG24XC,1,0,https://octopart.com/part/te-connectivity-deutsch/D38999%2F25YG24XC,2026-09-05T20:31:03
D38999/25YG24XD,TE Connectivity / DEUTSCH,unknown,200.22,0.0,,,0.0,,1000.0,58734955,D38999/25YG24XD,1,0,https://octopart.com/part/te-connectivity-deutsch/D38999%2F25YG24XD,2026-09-05T20:31:04
D38999/25YG24XE,TE Connectivity / DEUTSCH,unknown,200.22,0.0,,,0.0,,1000.0,58734956,D38999/25YG24XE,1,0,https://octopart.com/part/te-connectivity-deutsch/D38999%2F25YG24XE,2026-09-05T20:31:04
D38999/26FE26PN,Amphenol Aerospace,unknown,53.423,1305.0,14.0,,11.0,,1000.0,49674200,D38999/26FE26PN,16,9,https://octopart.com/part/amphenol-aerospace/D38999%2F26FE26PN,2026-09-05T20:31:13
D38999/26GC4JC,Glenair,unknown,1045.72,1.0,35.0,,1.0,,1000.0,157368029,D38999/26GC4JC,2,1,https://octopart.com/part/glenair/D38999%2F26GC4JC,2026-09-05T20:31:11
D38999/26GC4JD,Glenair,unknown,1045.72,1.0,35.0,,1.0,,1000.0,157368036,D38999/26GC4JD,2,1,https://octopart.com/part/glenair/D38999%2F26GC4JD,2026-09-05T20:31:11
D38999/40WB2PC,Glenair,unknown,909.331,8.0,0.0,,2.0,,1000.0,164349529,D38999/40WB2PC,7,2,https://octopart.com/part/glenair/D38999%2F40WB2PC,2026-09-05T20:31:12
TXR15AB00-1008AI,TE Connectivity / Raychem,unknown,196.9,34433.0,0.0,,14.0,,1000.0,42378473,TXR15AB00-1008AI,23,9,https://octopart.com/part/te-connectivity-raychem/TXR15AB00-1008AI,2026-09-05T20:31:00
TXR40AB00-1210BI,TE Connectivity / Raychem,unknown,287.978,237.0,14.0,,12.0,,1000.0,42392600,TXR40AB00-1210BI,20,8,https://octopart.com/part/te-connectivity-raychem/TXR40AB00-1210BI,2026-09-05T20:31:01
TXR40AB90-2412BI,TE Connectivity / Raychem,unknown,272.307,244.0,0.0,,9.0,,1000.0,42357303,TXR40AB90-2412BI,20,6,https://octopart.com/part/te-connectivity-raychem/TXR40AB90-2412BI,2026-09-05T20:31:01
