mpn,image_url
CMF60100K00DERE,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
CMF60100K00DHEA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
CMF60100K00DHR6,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
CMF60100K00DHRE,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
CMF65100K00BEEB,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
CMF65100K00BER6,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg
"2CS 1R0 0,5%",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/9004/MFG_6650_2CS.jpg
AC0805DR-071RL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4843/YAGEOCHIPRES.jpg
AC1206DR-071RL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/THICKFILMRESSMD.jpg
AF1206DR-071RL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/13_1206-%283216-metric%29.jpg
CPF0805B1R0E1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/1208_0603.jpg
CPF11R0000DKE14,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3153/MFG_CPF1-Series.jpg
CPF1206B1R0E1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/1208_1206.jpg
CPF31R0000DKB14,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2805/MFG_CPF3-Series.jpg
CRT0805-CY-1R00ELF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7210/MFG_118_CRT_series.jpg
CRT0805-DY-1R00ELF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7210/MFG_118_CRT_series.jpg
CSRT0603DT1R00,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/8052/MFG_738_CSRT_series.jpg
ERJ-H3QD1R00V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2642/MFG_Panasonic-ERJ-Hxx-Series-Resistors-Photo.jpg
ERJ-UP6D1R00V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/9015/MFG_ERJ-UPxFx.jpg
ERJ-UP8D1R00V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/9015/MFG_ERJ-UPxFx.jpg
FNPX1R000B,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5783/MFG_FNPxx.jpg
FNPY1R000A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5783/MFG_FNPxx.jpg
FNPZ1R000A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5783/MFG_FNPxx.jpg
FWP2274P-1R00-B,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/8890/MFG_FWP2272N-1R00-x.jpg
MAW1R0000D,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/112_S%20SERIES.JPG
MCW1R0000D,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5752/MFG_804_MC.jpg
NS02C1R000BB12,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6475/MFG_NS01010R00FE12.jpg
PCW1R0000B,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5752/MFG_804_PC.jpg
PCX1R0000B,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5752/MFG_804_PC.jpg
3430A3F150RTDF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4897/MFG_Wide-0805-2012-Metric.jpg
3504G3A150RFTDF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4320/MFG_3504G3AXXXXXTDF.jpg
3522150RFT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/RL73%2C%20CGS%202512%20%286432%20Metric%29.jpg
3522150RJT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/RL73%2C%20CGS%202512%20%286432%20Metric%29.jpg
3540150RFT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-2816.jpg
3540150RJT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-2816.jpg
3550150RFT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4320.jpg
3550150RJT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4320.jpg
3560150RFT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4527.jpg
3560150RJT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/496/TE-4527.jpg
5-2176400-3,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6658/MFG_5-2176400-3.jpg
805F150E,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2359/805F%20SERIES.jpg
825F150E,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2522/825F%20SERIES.jpg
850F150E,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2449/850F%20SERIES.jpg
AC04000001500JAC00,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2523/AC01%20SERIES.jpg
AC05000001500JAC00,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2586/PPCxPPCxW%20Series.JPG
AC05AT0001500JAC00,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/869/ACAT-Series.jpg
AC07000001500JAC00,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2523/AC01%20SERIES.jpg
ALSR03150R0FE12,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2526/ALSR%20SERIES%203W.JPG
ALSR05150R0FE12,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2529/ALSR%20SERIES%205W.JPG
ALX25W150RBET,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2722/MFG_ALXxxWxxR0BET.jpg
AP836 150R J,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1175/AP836-Series.jpg
C10150RJL,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/882/C%2C-CGS--Wirewound-Resistor-8%2C50x38%2C1mm.jpg
CJP1000J150RJ,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4194/CJPXXXXXXXXRJ.jpg
CJP300J150RJ,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4194/CJPXXXXXXXXRJ.jpg
1812Y1K00473KST,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6310/1608%7E4532-25%7E1812.jpg
1825AC473KAT1A,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/800/1825-%284564-Metric%29-2%2C54.jpg
885342208026,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/739/1206-%283216-Metric%29-2%2C20mm_BN.jpg
C1206C473KCRACAUTO,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1206-%283216-Metric%29-3%2C20x1%2C60x1%2C35mm.jpg
C1206C473KCRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/208/1206-%283216-Metric%29-3%2C20x1%2C60x1%2C90mm.jpg
C1206X473KCRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/208/1206-%283216-Metric%29-3%2C20x1%2C60x1%2C90mm.jpg
C1210C473KBRACAUTO,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/194/1210-%283225-Metric%29-3%2C20x2%2C50x2%2C80mm.jpg
C1210C473KBRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/194/1210-%283225-Metric%29-3%2C20x2%2C50x2%2C80mm.jpg
C1210C473KCRACAUTO,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/194/1210-%283225-Metric%29-3%2C20x2%2C50x2%2C80mm.jpg
C1210C473KCRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/194/1210-%283225-Metric%29-3%2C20x2%2C50x2%2C80mm.jpg
C1210C473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/194/1210-%283225-Metric%29-3%2C20x2%2C50x2%2C80mm.jpg
C1210V473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7160/MFG_ArcShield-SMD-Comm-X7R-HV.JPG
C1210X473KBRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/902/1210-%283225-Metric%29-1%2C50mm.jpg
C1808V473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7160/MFG_ArcShield-SMD-Comm-X7R-HV.JPG
C1812C473JBGACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1812-%284532-Metric%29-4%2C50x3%2C20x2%2C7mm.jpg
C1812C473KCRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1812-%284532-Metric%29-4%2C50x3%2C20x2%2C7mm.jpg
C1812C473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1812-%284532-Metric%29-4%2C50x3%2C20x2%2C7mm.jpg
C1812V473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/7160/MFG_ArcShield-SMD-Comm-X7R-HV.JPG
C1812X473JBGACAUTO,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1812-%284532-Metric%29-4%2C50x3%2C20x2%2C7mm.jpg
C1812X473KDRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/1812-%284532-Metric%29-4%2C50x3%2C20x2%2C7mm.jpg
C1825X473KFRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/209/1825-%284564-Metric%29-4%2C60x6%2C40x1%2C65mm.jpg
C2220X473KFRACTU,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2905/Kemet%202220.jpg
C3216X7T2J473K160AC,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/1206-%283216-Metric%29-2%2C20mm-C-Series.jpg
C3216X7T2J473K160AE,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/763/1206-%283216-Metric%29-2%2C20mm-C-Series.jpg
C330C473KFR5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2079/Goldmax%2C-300.jpg
CC0603KRX7RABB103,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/0603%289mmthickness%29.jpg
C330C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg
C330C104G2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg
C330C104GAG5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg
C330C104GAG5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/631/GoldenMax73-SERIES.jpg
C331C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/MFG_Goldmax_CAP-CER_X7R.jpg
C331C104GAG5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1163/MFG_Goldmax_CAP-CER_X7R.jpg
C333C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/C333C104K1R5TA.jpg
C333C104G2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/C333C104K1R5TA.jpg
C333C104GAG5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/C333C104K1R5TA.jpg
C333C104GAG5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/C333C104K1R5TA.jpg
C335C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/484/GoldMax300_C325-C335.jpg
C335C104G2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/484/GoldMax300_C325-C335.jpg
C335C104GAG5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/484/GoldMax300_C325-C335.jpg
C335C104GAG5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/484/GoldMax300_C325-C335.jpg
C336C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2156/C316C101J1G5TA.jpg
C336C104G2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2156/C316C101J1G5TA.jpg
C336C104GAG5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2156/C316C101J1G5TA.jpg
C336C104GAG5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2156/C316C101J1G5TA.jpg
C350C104F2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2079/Goldmax%2C-300.jpg
C350C104F2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2079/Goldmax%2C-300.jpg
C350C104G2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2079/Goldmax%2C-300.jpg
C350C104G2G5TA7301,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2079/Goldmax%2C-300.jpg
C356C104F2G5TA,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2156/C316C101J1G5TA.jpg
